"","INDEX_CAL","SEXE","date1","Year","mois","saisonyear","Id","x","y","geometry"
"2212",1,"XX",2023-12-20,2023,12,2024,"S88-052",1004499.99999868,6355499.99999988,c(1004499.99999868, 6355499.99999988)
"2213",0.583333313,"XY",2023-12-20,2023,12,2024,"S89-009",1069499.99999858,6330499.99999989,c(1069499.99999858, 6330499.99999989)
"2214",0.989583313,"XX",2023-12-20,2023,12,2024,"S78-043",949499.999998758,6440499.99999985,c(949499.999998758, 6440499.99999985)
"2215",0.958333313,"XX",2023-12-20,2023,12,2024,"S86-120",949499.999998758,6440499.99999985,c(949499.999998758, 6440499.99999985)
"2216",1,"XX",2023-12-20,2023,12,2024,"S86-053",1029499.99999864,6345499.99999988,c(1029499.99999864, 6345499.99999988)
"2217",1,"XX",2023-12-20,2023,12,2024,"S65-32",979499.999998713,6395499.99999987,c(979499.999998713, 6395499.99999987)
"2218",1,"XY",2023-12-20,2023,12,2024,"S73-070",938499.999998775,6429499.99999985,c(938499.999998775, 6429499.99999985)
"2220",0.885416687,"XY",2023-12-21,2023,12,2024,"S87-048",1064499.99999859,6330499.99999989,c(1064499.99999859, 6330499.99999989)
"2222",1,"XY",2023-12-21,2023,12,2024,"S87-097",1054499.9999986,6340499.99999989,c(1054499.9999986, 6340499.99999989)
"2223",0.703125,"XY",2023-12-21,2023,12,2024,"S86-031",909499.999998818,6345499.99999988,c(909499.999998818, 6345499.99999988)
"2225",1,"XY",2023-12-21,2023,12,2024,"S84-005",961499.99999874,6443499.99999985,c(961499.99999874, 6443499.99999985)
"2226",0.541666687,"NI",2023-12-21,2023,12,2024,"S86-112",909499.999998818,6345499.99999988,c(909499.999998818, 6345499.99999988)
"2227",0.864583313,"XY",2023-12-21,2023,12,2024,"S86-026",909499.999998818,6345499.99999988,c(909499.999998818, 6345499.99999988)
"2228",0.838541687,"XY",2023-12-21,2023,12,2024,"S86-031",909499.999998818,6345499.99999988,c(909499.999998818, 6345499.99999988)
"2229",1,"XX",2023-12-22,2023,12,2024,"S66-09",1064499.99999859,6345499.99999988,c(1064499.99999859, 6345499.99999988)
"2230",0.557291687,"XX",2023-12-22,2023,12,2024,"S82-029",944499.999998766,6365499.99999988,c(944499.999998766, 6365499.99999988)
"2231",0.744791687,"XY",2023-12-22,2023,12,2024,"S87-042",1009499.99999867,6345499.99999988,c(1009499.99999867, 6345499.99999988)
"2233",1,"XY",2023-12-22,2023,12,2024,"S58-61",914499.99999881,6420499.99999986,c(914499.99999881, 6420499.99999986)
"2234",0.541666687,"XX",2023-12-22,2023,12,2024,"S86-129",999499.999998684,6465499.99999984,c(999499.999998684, 6465499.99999984)
"2236",0.994791687,"XY",2023-12-23,2023,12,2024,"S86-091",989499.999998698,6315499.99999989,c(989499.999998698, 6315499.99999989)
"2238",0.75,"XX",2023-12-24,2023,12,2024,"S86-002",988499.9999987,6479499.99999983,c(988499.9999987, 6479499.99999983)
"2239",1,"XX",2023-12-24,2023,12,2024,"S83-029",993499.999998693,6354499.99999988,c(993499.999998693, 6354499.99999988)
"2241",1,"XY",2023-12-25,2023,12,2024,"S86-070",979499.999998713,6485499.99999983,c(979499.999998713, 6485499.99999983)
"2242",1,"XX",2023-12-25,2023,12,2024,"S86-067",979499.999998713,6485499.99999983,c(979499.999998713, 6485499.99999983)
"2244",0.875,"XX",2023-12-27,2023,12,2024,"S74-024",999499.999998684,6360499.99999988,c(999499.999998684, 6360499.99999988)
"2245",0.911458313,"XY",2023-12-27,2023,12,2024,"S88-030",979499.999998713,6245499.99999992,c(979499.999998713, 6245499.99999992)
"2246",0.984375,"XY",2023-12-27,2023,12,2024,"S86-069",924499.999998795,6370499.99999987,c(924499.999998795, 6370499.99999987)
"2247",0.84375,"XY",2023-12-27,2023,12,2024,"S86-131",1004499.99999868,6500499.99999983,c(1004499.99999868, 6500499.99999983)
"2248",0.994791687,"XY",2023-12-27,2023,12,2024,"S86-029",938499.999998775,6329499.99999989,c(938499.999998775, 6329499.99999989)
"2249",0.692708313,"XY",2023-12-28,2023,12,2024,"S86-079",919499.999998803,6390499.99999987,c(919499.999998803, 6390499.99999987)
"2250",1,"XY",2023-12-28,2023,12,2024,"S86-132",994499.999998691,6515499.99999982,c(994499.999998691, 6515499.99999982)
"2251",0.973958313,"XX",2023-12-28,2023,12,2024,"S86-096",959499.999998743,6325499.99999989,c(959499.999998743, 6325499.99999989)
"2252",0.838541687,"XY",2023-12-28,2023,12,2024,"S87-038",1069499.99999858,6345499.99999988,c(1069499.99999858, 6345499.99999988)
"2253",1,"XY",2023-12-28,2023,12,2024,"S74-011",979499.999998713,6395499.99999987,c(979499.999998713, 6395499.99999987)
"2254",0.552083313,"XY",2023-12-28,2023,12,2024,"S86-009",939499.999998773,6590499.99999979,c(939499.999998773, 6590499.99999979)
"2255",0.71875,"XY",2023-12-28,2023,12,2024,"S86-023",939499.999998773,6590499.99999979,c(939499.999998773, 6590499.99999979)
"2256",0.713541687,"XX",2023-12-28,2023,12,2024,"S86-117",899499.999998833,6435499.99999985,c(899499.999998833, 6435499.99999985)
"2257",0.984375,"XX",2023-12-28,2023,12,2024,"S88-046",969499.999998728,6395499.99999987,c(969499.999998728, 6395499.99999987)
"2259",1,"XY",2023-12-29,2023,12,2024,"S87-021",764499.999999034,6360499.99999988,c(764499.999999034, 6360499.99999988)
"2261",0.973958313,"XX",2023-12-29,2023,12,2024,"S67-45",969499.999998728,6460499.99999984,c(969499.999998728, 6460499.99999984)
"2262",0.958333313,"XX",2023-12-29,2023,12,2024,"S81-011",769499.999999027,6360499.99999988,c(769499.999999027, 6360499.99999988)
"2264",0.859375,"XY",2023-12-29,2023,12,2024,"S86-200",984499.999998706,6485499.99999983,c(984499.999998706, 6485499.99999983)
