"","date","Type","N°Ref","G+","G_session","G_sp","MODIF","GENOTYPE_TRANS","INDEX_CAL","SEQULG_ANTAGENE_DEF_SEXE","µsat_HMbrut_SEXE","Cause_mort","Age","date1","Year","mois","saisonyear","Id","SEXE","geometry","x","y"
"83",2024-11-25,"F","F8324220",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-013",0.59375,"F","XX",NA,NA,2024-11-25,2025,11,2025,"S92-013","F",c(975102.499848407, 6255001.64307065),975102.499848407,6255001.64307065
"84",2024-11-25,"F","F3824196",TRUE,2025-07-07,"Canis lupus",FALSE,"S92-015",0.520833313465118,"F","XX",NA,NA,2024-11-25,2025,11,2025,"S92-015","F",c(925602.499848407, 6410501.64307065),925602.499848407,6410501.64307065
"85",2024-11-25,"F","F0624285",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-010",1,"F","XX",NA,NA,2024-11-25,2025,11,2025,"S92-010","F",c(1039352.49984841, 6343001.64307065),1039352.49984841,6343001.64307065
"86",2024-11-25,"F","F0424362",TRUE,2025-02-10,"Canis lupus",FALSE,"S72-022",0.817708313465118,"F","XX",NA,NA,2024-11-25,2025,11,2025,"S72-022","F",c(959352.499848407, 6328001.64307065),959352.499848407,6328001.64307065
"87",2024-11-25,"F","F7324181",TRUE,2025-04-07,"Canis lupus",FALSE,"S93-006",0.90625,"M","XY",NA,NA,2024-11-25,2025,11,2025,"S93-006","M",c(984352.499848407, 6463001.64307065),984352.499848407,6463001.64307065
"88",2024-11-25,"F","F8424167",TRUE,2025-05-26,"Canis lupus",FALSE,"S94-062",0.682291686534882,"F","XX",NA,NA,2024-11-25,2025,11,2025,"S94-062","F",c(904352.499848407, 6303001.64307065),904352.499848407,6303001.64307065
"89",2024-11-25,"F","F0124042",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-162",1,"M","XY",NA,NA,2024-11-25,2025,11,2025,"S92-162","M",c(934352.499848407, 6593001.64307065),934352.499848407,6593001.64307065
"90",2024-11-25,"F","F2624240",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-096",1,"F","XX",NA,NA,2024-11-25,2025,11,2025,"S92-096","F",c(904352.499848407, 6408001.64307065),904352.499848407,6408001.64307065
"91",2024-11-26,"F","F8424140",TRUE,2025-02-10,"Canis lupus",FALSE,"S80-090",0.90625,"F","XX",NA,NA,2024-11-26,2025,11,2025,"S80-090","F",c(899352.499848407, 6323001.64307065),899352.499848407,6323001.64307065
"92",2024-11-26,"F","F2624227",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-120",0.989583313465118,"F","XX",NA,NA,2024-11-26,2025,11,2025,"S92-120","F",c(869352.499848407, 6403001.64307065),869352.499848407,6403001.64307065
"93",2024-11-26,"F","F0624205",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-022",0.604166686534882,"M","XY",NA,NA,2024-11-26,2025,11,2025,"S92-022","M",c(1019352.49984841, 6338001.64307065),1019352.49984841,6338001.64307065
"94",2024-11-26,"F","F0424365",TRUE,2025-02-10,"Canis lupus",FALSE,"S87-087",0.682291686534882,"M","XY",NA,NA,2024-11-26,2025,11,2025,"S87-087","M",c(964352.499848407, 6328001.64307065),964352.499848407,6328001.64307065
"95",2024-11-26,"F","F0424364",TRUE,2025-04-07,"Canis lupus",FALSE,"S72-022",0.744791686534882,"F","XX",NA,NA,2024-11-26,2025,11,2025,"S72-022","F",c(965102.499848407, 6330001.64307065),965102.499848407,6330001.64307065
"96",2024-11-26,"F","F0424363",TRUE,2025-02-10,"Canis lupus",FALSE,"S72-022",0.963541686534882,"F","XX",NA,NA,2024-11-26,2025,11,2025,"S72-022","F",c(965602.499848407, 6325501.64307065),965602.499848407,6325501.64307065
"97",2024-11-26,"F","F1324081",TRUE,2025-02-10,"Canis lupus",FALSE,"S90-007",0.666666686534882,"F","XX",NA,NA,2024-11-26,2025,11,2025,"S90-007","F",c(894352.499848407, 6258001.64307065),894352.499848407,6258001.64307065
"98",2024-11-27,"F","F7324187",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-130",0.557291686534882,"M","XY",NA,NA,2024-11-27,2025,11,2025,"S92-130","M",c(994352.499848407, 6463001.64307065),994352.499848407,6463001.64307065
"99",2024-11-27,"F","F0624203",TRUE,2025-04-07,"Canis lupus",FALSE,"S90-040",0.875,"M","XY",NA,NA,2024-11-27,2025,11,2025,"S90-040","M",c(1009352.49984841, 6308001.64307065),1009352.49984841,6308001.64307065
"100",2024-11-28,"F","F1324082",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-027",0.828125,"M","XY",NA,NA,2024-11-28,2025,11,2025,"S92-027","M",c(914352.499848407, 6243001.64307065),914352.499848407,6243001.64307065
"101",2024-11-28,"F","F0624198",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-104",0.666666686534882,"M","XY",NA,NA,2024-11-28,2025,11,2025,"S92-104","M",c(999352.499848407, 6303001.64307065),999352.499848407,6303001.64307065
"102",2024-11-28,"F","F0524216",TRUE,2025-02-10,"Canis lupus",FALSE,"S89-003",0.833333313465118,"M","XY",NA,NA,2024-11-28,2025,11,2025,"S89-003","M",c(929352.499848407, 6393001.64307065),929352.499848407,6393001.64307065
"103",2024-11-28,"F","F0524215",TRUE,2025-02-10,"Canis lupus",FALSE,"S78-081",0.989583313465118,"F","XX",NA,NA,2024-11-28,2025,11,2025,"S78-081","F",c(929352.499848407, 6393001.64307065),929352.499848407,6393001.64307065
"104",2024-11-28,"F","F1324079",TRUE,2025-04-07,"Canis lupus",FALSE,"S74-002",0.90625,"F","XX",NA,NA,2024-11-28,2025,11,2025,"S74-002","F",c(894352.499848407, 6238001.64307065),894352.499848407,6238001.64307065
"105",2024-11-28,"F","F0624200",TRUE,2025-02-10,"Canis lupus",FALSE,"S82-028",0.78125,"F","XX",NA,NA,2024-11-28,2025,11,2025,"S82-028","F",c(999352.499848407, 6303001.64307065),999352.499848407,6303001.64307065
"106",2024-11-29,"F","F8324222",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-047",0.916666686534882,"F","XX",NA,NA,2024-11-29,2025,11,2025,"S92-047","F",c(919352.499848407, 6238001.64307065),919352.499848407,6238001.64307065
"107",2024-11-30,"F","F0524222",TRUE,2025-02-10,"Canis lupus",FALSE,"S77-027",0.59375,"F","XX",NA,NA,2024-11-30,2025,11,2025,"S77-027","F",c(919352.499848407, 6348001.64307065),919352.499848407,6348001.64307065
"108",2024-11-30,"F","F0624207",TRUE,2025-02-10,"Canis lupus",FALSE,"S92-049",0.671875,"F","XX",NA,NA,2024-11-30,2025,11,2025,"S92-049","F",c(1024352.49984841, 6318001.64307065),1024352.49984841,6318001.64307065
"109",2024-11-30,"F","F0524221",TRUE,2025-02-10,"Canis lupus",FALSE,"S77-027",0.572916686534882,"F","XX",NA,NA,2024-11-30,2025,11,2025,"S77-027","F",c(925102.499848407, 6350001.64307065),925102.499848407,6350001.64307065
